"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,5 Feb 2024 11:55:03.186,5 Feb 2024 11:57:50.331,167.145
81,5 Feb 2024 21:00:03.298,5 Feb 2024 21:11:06.010,662.712
82,5 Feb 2024 22:35:17.881,5 Feb 2024 22:46:49.571,691.690
83,6 Feb 2024 08:37:46.381,6 Feb 2024 08:47:44.302,597.921
84,6 Feb 2024 10:12:37.292,6 Feb 2024 10:24:38.271,720.979
85,6 Feb 2024 11:51:54.464,6 Feb 2024 11:54:24.226,149.762
86,6 Feb 2024 20:56:45.373,6 Feb 2024 21:07:49.974,664.601
87,6 Feb 2024 22:32:02.195,6 Feb 2024 22:43:32.374,690.179
88,7 Feb 2024 08:34:28.629,7 Feb 2024 08:44:29.505,600.876
89,7 Feb 2024 10:09:20.896,7 Feb 2024 10:21:21.020,720.124
90,7 Feb 2024 11:48:46.944,7 Feb 2024 11:50:56.910,129.965
91,7 Feb 2024 20:53:27.466,7 Feb 2024 21:04:33.926,666.459
92,7 Feb 2024 22:28:46.530,7 Feb 2024 22:40:15.167,688.637
93,8 Feb 2024 08:31:10.895,8 Feb 2024 08:41:14.683,603.788
94,8 Feb 2024 10:06:04.507,8 Feb 2024 10:18:03.754,719.247
95,8 Feb 2024 11:45:41.296,8 Feb 2024 11:47:27.718,106.423
96,8 Feb 2024 20:50:09.577,8 Feb 2024 21:01:17.868,668.292
97,8 Feb 2024 22:25:30.874,8 Feb 2024 22:36:57.949,687.075
98,9 Feb 2024 08:27:53.183,9 Feb 2024 08:37:59.834,606.651
99,9 Feb 2024 10:02:48.126,9 Feb 2024 10:14:46.473,718.347
100,9 Feb 2024 11:42:39.219,9 Feb 2024 11:43:54.940,75.720
101,9 Feb 2024 20:46:51.705,9 Feb 2024 20:58:01.801,670.097
102,9 Feb 2024 22:22:15.242,9 Feb 2024 22:33:40.727,685.485
103,10 Feb 2024 08:24:35.480,10 Feb 2024 08:34:44.961,609.481
104,10 Feb 2024 09:59:31.753,10 Feb 2024 10:11:29.178,717.425
105,10 Feb 2024 11:39:54.302,10 Feb 2024 11:40:04.984,10.683
106,10 Feb 2024 20:43:33.851,10 Feb 2024 20:54:45.726,671.876
107,10 Feb 2024 22:18:59.627,10 Feb 2024 22:30:23.489,683.863
108,11 Feb 2024 08:21:17.798,11 Feb 2024 08:31:30.064,612.266
109,11 Feb 2024 09:56:15.387,11 Feb 2024 10:08:11.868,716.481
110,11 Feb 2024 20:40:16.013,11 Feb 2024 20:51:29.645,673.632
111,11 Feb 2024 22:15:44.030,11 Feb 2024 22:27:06.239,682.209
112,12 Feb 2024 08:18:00.133,12 Feb 2024 08:28:15.141,615.008
113,12 Feb 2024 09:52:59.029,12 Feb 2024 10:04:54.543,715.513
114,12 Feb 2024 20:36:58.194,12 Feb 2024 20:48:13.551,675.357
115,12 Feb 2024 22:12:28.451,12 Feb 2024 22:23:48.981,680.530
116,13 Feb 2024 08:14:42.484,13 Feb 2024 08:25:00.193,617.709
117,13 Feb 2024 09:49:42.681,13 Feb 2024 10:01:37.202,714.522
118,13 Feb 2024 20:33:40.391,13 Feb 2024 20:44:57.446,677.055
119,13 Feb 2024 22:09:12.892,13 Feb 2024 22:20:31.712,678.821
120,14 Feb 2024 08:11:24.851,14 Feb 2024 08:21:45.221,620.370
121,14 Feb 2024 09:46:26.341,14 Feb 2024 09:58:19.847,713.506
122,14 Feb 2024 20:30:22.606,14 Feb 2024 20:41:41.332,678.726
123,14 Feb 2024 22:05:57.350,14 Feb 2024 22:17:14.433,677.083
124,15 Feb 2024 08:08:07.233,15 Feb 2024 08:18:30.220,622.987
125,15 Feb 2024 09:43:10.002,15 Feb 2024 09:55:02.477,712.475
126,15 Feb 2024 20:27:04.837,15 Feb 2024 20:38:25.209,680.372
127,15 Feb 2024 22:02:41.827,15 Feb 2024 22:13:57.142,675.315
128,16 Feb 2024 08:04:49.631,16 Feb 2024 08:15:15.201,625.570
129,16 Feb 2024 09:39:53.675,16 Feb 2024 09:51:45.091,711.417
130,16 Feb 2024 20:23:47.085,16 Feb 2024 20:35:09.076,681.992
131,16 Feb 2024 21:59:26.323,16 Feb 2024 22:10:39.841,673.517
132,17 Feb 2024 08:01:32.044,17 Feb 2024 08:12:00.160,628.116
133,17 Feb 2024 09:36:37.356,17 Feb 2024 09:48:27.687,710.331
134,17 Feb 2024 20:20:29.349,17 Feb 2024 20:31:52.934,683.585
135,17 Feb 2024 21:56:10.843,17 Feb 2024 22:07:22.530,671.688
136,18 Feb 2024 07:58:14.472,18 Feb 2024 08:08:45.094,630.622
137,18 Feb 2024 09:33:21.046,18 Feb 2024 09:45:10.274,709.228
138,18 Feb 2024 20:17:11.631,18 Feb 2024 20:28:36.783,685.152
139,18 Feb 2024 21:52:55.374,18 Feb 2024 22:04:05.206,669.832
140,19 Feb 2024 07:54:56.915,19 Feb 2024 08:05:30.004,633.090
141,19 Feb 2024 09:30:04.743,19 Feb 2024 09:41:52.842,708.100
142,19 Feb 2024 20:13:53.928,19 Feb 2024 20:25:20.623,686.695
143,19 Feb 2024 21:49:39.929,19 Feb 2024 22:00:47.870,667.941
144,20 Feb 2024 07:51:39.372,20 Feb 2024 08:02:14.892,635.520
145,20 Feb 2024 09:26:48.448,20 Feb 2024 09:38:35.394,706.946

