"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","From Pass","To Pass","From Start Lat (deg)","From Start Lon (deg)","From Start Alt (km)","From Stop Lat (deg)","From Stop Lon (deg)","From Stop Alt (km)","To Start Lat (deg)","To Start Lon (deg)","To Start Alt (km)","To Stop Lat (deg)","To Stop Lon (deg)","To Stop Alt (km)","From Pass End","To Pass End","To Object","From Object","To Parent","From Parent"
24 Jan 2024 10:55:11.111,24 Jan 2024 11:07:21.200,730.089,"57","N/A",62.062,-107.066,566.661842,16.276,-110.116,551.667624,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"57","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
24 Jan 2024 12:33:23.804,24 Jan 2024 12:38:26.921,303.117,"58","N/A",52.953,-131.686,563.583681,33.958,-132.953,556.636446,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"58","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
24 Jan 2024 21:39:39.821,24 Jan 2024 21:50:17.605,637.785,"64","N/A",20.506,-88.627,552.606218,60.495,-91.291,566.166649,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"64","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
24 Jan 2024 23:14:27.464,24 Jan 2024 23:26:15.182,707.717,"65","N/A",16.776,-112.390,551.768786,61.162,-115.347,566.379424,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"65","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
25 Jan 2024 09:17:20.934,25 Jan 2024 09:26:39.669,558.735,"71","N/A",57.484,-83.525,565.171130,22.448,-85.860,553.097014,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"71","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
25 Jan 2024 10:51:54.616,25 Jan 2024 11:04:04.134,729.518,"72","N/A",62.056,-107.231,566.659979,16.306,-110.279,551.673586,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"72","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
25 Jan 2024 12:30:10.770,25 Jan 2024 12:35:05.234,294.464,"73","N/A",52.730,-131.865,563.503572,34.278,-133.095,556.747038,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"73","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
25 Jan 2024 21:36:21.673,25 Jan 2024 21:47:01.699,640.026,"79","N/A",20.408,-88.784,552.582401,60.537,-91.459,566.180364,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"79","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
25 Jan 2024 23:11:11.569,25 Jan 2024 23:22:58.098,706.529,"80","N/A",16.820,-112.557,551.777777,61.131,-115.509,566.369683,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"80","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
26 Jan 2024 09:14:02.938,26 Jan 2024 09:23:25.219,562.281,"86","N/A",57.572,-83.684,565.200915,22.313,-86.033,553.061818,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"86","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
